ISO,AgeofDeath
ISL,73.17
IND,60.690002
IDN,62.295002
IRN,65.235
IRQ,52.845
IRL,71.645004
ISR,72.25
ITA,73.775
JAM,66.115005
JPN,73.755005
JOR,63.805
KAZ,62.4
KEN,51.57
KIR,59.75
KWT,62.910004
KGZ,60.24
LAO,57.075
LVA,69.01
LBN,67.655
LSO,53.775
LBR,46.280003
LBY,62.805
LTU,68.62
LUX,71.475006
MKD,70.295
MDG,54.43
MWI,50.505
MYS,65.44
MDV,65.035
MLI,43.83
MLT,72.575
MHL,59.340004
MRT,50.395
MUS,67.17
MEX,65.095
FSM,63.685
MNG,60.620003
MNE,70.36
MAR,62.38
MOZ,51.010002
MMR,61.125
NAM,57.690002
NPL,56.850002
NLD,72.795
NZL,71.985
NIC,62.83
NER,44.050003
NGA,46.63
NOR,73.33
OMN,62.57
PAK,56.29
PAN,65.87
PNG,57.340004
PRY,63.83
PER,63.605003
PHL,59.980003
POL,69.705
PRT,72.485
QAT,59.055
KOR,69.435
MDA,67.11
ROU,69.815
RUS,66.14
RWA,51.81
LCA,66.675
VCT,64.740005
WSM,64.32
STP,55.96
SAU,62.850002
SEN,50.590004
SRB,71.215
SYC,62.4
SLE,48.695
SGP,69.895004
SVK,69.725006
SVN,71.015
SLB,60.605003
SOM,49.955
ZAF,56.175003
ESP,73.240005
LKA,67.895004
SDN,52.225002
SUR,61.550003
SWZ,54.915
SWE,74.115005
CHE,73.5
SYR,63.89
TJK,56.83
TZA,50.010002
THA,66.270004
TLS,52.075
TGO,50.435
TON,64.92
TTO,65.94
TUN,66.425
TUR,64.240005
TKM,61.9
UGA,50.57
UKR,67.68
ARE,57.335
GBR,73.015
USA,71.05
URY,71.025
UZB,60.775
VUT,61.230003
VEN,62.665
VNM,65.0
YEM,51.715004
ZMB,49.675003
ZWE,54.895004
AAE,63.61835
ACE,69.61835
GEA,62.1584
HIA,69.5145
AME,64.47266
LIA,51.83345
LMA,58.98445
ANE,62.31275
ASA,71.71001
ASE,59.7731
AEE,51.90045
UMA,64.5594
EAM,63.685
ECM,70.92
GEM,63.010002
HIM,71.05
LCM,64.740005
LIM,51.010002
LMM,59.980003
MEM,62.805
NAN,71.05
SAM,59.72
SSM,50.915
UMM,65.095
EAE,66.7894
ECE,69.2871
GLE,63.2117
HWW,70.94791
LCE,64.7973
LIW,53.6593
LMW,59.45785
MEE,61.99745
NAE,71.18115
SAE,60.05765
SSE,50.0666
UMW,66.286255
# Series: AVDTFEIN,NaN
"# Name: Mean age of death, female",NaN
# Definition: Average age of death overall for a population,NaN
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),NaN
# Data from the No Ceilings project: http://noceilings.org,NaN
"# For more about the data, please visit http://noceilings.org/data",NaN
AFG,52.34
ALB,69.705
DZA,62.739998
AND,74.925
AGO,51.579998
ATG,69.965
ARG,70.104996
ARM,69.45
AUS,73.935
AUT,73.565
AZE,64.165
BHS,62.94
BHR,62.574997
BGD,61.805
BRB,68.92
BLR,68.68
BEL,73.835
BLZ,63.0
BEN,50.855
BTN,60.94
BOL,57.405
BIH,71.47
BWA,57.269997
BRA,66.74
BRN,67.925
BGR,72.14
BFA,45.364998
BDI,53.309998
KHM,58.475
CMR,52.09
CAN,73.59
CPV,64.229996
CAF,55.07
TCD,46.85
CHL,70.369995
CHN,69.11
COL,64.46
COM,53.975
COG,55.415
CRI,69.32
CIV,53.5
HRV,72.255
CUB,72.905
CYP,73.34
CZE,72.19
PRK,65.865
COD,48.475
DNK,73.75
DJI,55.199997
DMA,67.985
DOM,66.66
ECU,64.55
EGY,64.32
SLV,65.075
GNQ,51.43
ERI,52.135
EST,70.675
ETH,54.405
FJI,63.565
FIN,72.935
FRA,73.67
GAB,59.059998
GMB,49.445
GEO,69.645004
DEU,73.649994
GHA,55.949997
GRC,74.545
GRD,67.479996
GTM,59.059998
GIN,49.129997
GNB,49.754997
GUY,62.695
HTI,54.565
HND,63.385
HUN,71.49
ISL,74.39
IND,61.91
IDN,63.515
IRN,66.455
IRQ,54.065
IRL,72.865
ISR,73.47
ITA,74.994995
JAM,67.335
JPN,74.975
JOR,65.025
KAZ,63.62
KEN,52.79
KIR,60.97
KWT,64.13
KGZ,61.46
LAO,58.295
LVA,70.229996
LBN,68.875
LSO,54.995
LBR,47.5
LBY,64.025
LTU,69.84
LUX,72.695
MKD,71.515
MDG,55.65
MWI,51.725
MYS,66.66
MDV,66.255
MLI,45.05
MLT,73.795
MHL,60.559998
MRT,51.614998
MUS,68.39
MEX,66.315
FSM,64.905
MNG,61.839996
MNE,71.58
MAR,63.6
MOZ,52.23
MMR,62.345
NAM,58.91
NPL,58.07
NLD,74.015
NZL,73.205
NIC,64.05
NER,45.27
NGA,47.85
NOR,74.55
OMN,63.79
PAK,57.51
PAN,67.09
PNG,58.559998
PRY,65.05
PER,64.825
PHL,61.199997
POL,70.925
PRT,73.705
QAT,60.275
KOR,70.655
MDA,68.33
ROU,71.035
RUS,67.36
RWA,53.03
LCA,67.895
VCT,65.96
WSM,65.54
STP,57.18
SAU,64.07
SEN,51.809998
SRB,72.435
SYC,63.62
SLE,49.915
SGP,71.115
SVK,70.945
SVN,72.235
SLB,61.824997
SOM,51.175
ZAF,57.394997
ESP,74.46
LKA,69.115
SDN,53.445
SUR,62.769997
SWZ,56.135
SWE,75.335
CHE,74.72
SYR,65.11
TJK,58.05
TZA,51.23
THA,67.49
TLS,53.295
TGO,51.655
TON,66.14
TTO,67.16
TUN,67.645
TUR,65.46
TKM,63.12
UGA,51.79
UKR,68.9
ARE,58.555
GBR,74.235
USA,72.270004
URY,72.244995
UZB,61.995
VUT,62.449997
VEN,63.885
VNM,66.22
YEM,52.934998
ZMB,50.895
ZWE,56.114998
AAE,64.83835
ACE,70.83835
GEA,63.3784
HIA,70.7345
AME,65.69265
LIA,53.05345
LMA,60.20445
ANE,63.53275
ASA,72.93
ASE,60.9931
AEE,53.12045
UMA,65.7794
EAM,64.905
ECM,72.14
GEM,64.229996
HIM,72.270004
LCM,65.96
LIM,52.23
LMM,61.199997
MEM,64.025
NAN,72.270004
SAM,60.94
SSM,52.135
UMM,66.315
EAE,68.0094
ECE,70.507095
GLE,64.4317
HWW,72.1679
LCE,66.0173
LIW,54.8793
LMW,60.67785
MEE,63.21745
NAE,72.40115
SAE,61.27765
SSE,51.2866
UMW,67.50625
# Series: AVDTFEIN,NaN
"# Name: Mean age of death, female",NaN
# Definition: Average age of death overall for a population,NaN
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),NaN
# Data from the No Ceilings project: http://noceilings.org,NaN
"# For more about the data, please visit http://noceilings.org/data",NaN
AFG,51.84
ALB,69.205
DZA,62.239998
AND,74.425
AGO,51.079998
ATG,69.465
ARG,69.604996
ARM,68.95
